Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,claim_occurred,claim_amount,premium_paid
1.0,10.702702702702702,6.0,70,82.72727272727272,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,8.396396396396398,6.0,40,66.36363636363636,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,7.747747747747748,6.0,78,107.27272727272728,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,7.675675675675675,6.0,49,123.63636363636364,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,5.153153153153153,6.0,59,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
0.4547945205479452,7.81981981981982,6.0,71,90.9090909090909,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,6.162162162162162,6.0,55,58.18181818181818,B12,Regular,D,393.0,Centre,True,2607.0,0.0
1.0,7.027027027027027,6.0,52,58.18181818181818,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,10.27027027027027,6.0,51,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,7.81981981981982,6.0,47,58.18181818181818,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,6.2342342342342345,6.0,62,50.0,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,7.963963963963964,6.0,46,58.18181818181818,B12,Regular,B,393.0,Centre,True,2890.0,0.0
1.0,6.666666666666666,6.0,32,58.18181818181818,B12,Regular,B,393.0,Centre,False,0.0,0.0
0.8849315068493151,6.666666666666666,6.0,52,115.45454545454545,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,5.513513513513514,6.0,65,82.72727272727272,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,6.666666666666666,6.0,43,50.0,B12,Regular,C,393.0,Centre,True,2625.0,0.0
1.0,7.027027027027027,6.0,55,50.0,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,10.846846846846848,6.0,44,58.18181818181818,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,7.81981981981982,6.0,56,50.0,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,5.009009009009009,6.0,74,50.0,B12,Regular,B,393.0,Centre,False,0.0,0.0
0.7287671232876712,12.0,6.0,23,58.18181818181818,B12,Regular,C,393.0,Centre,False,0.0,0.0
0.4958904109589041,6.8108108108108105,6.0,51,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
0.3315068493150685,7.81981981981982,6.0,70,50.0,B12,Regular,C,393.0,Centre,False,0.0,0.0
0.9178082191780822,10.27027027027027,6.0,34,66.36363636363636,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,8.9009009009009,6.0,53,99.0909090909091,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,7.747747747747748,6.0,40,107.27272727272728,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,5.72972972972973,6.0,43,90.9090909090909,B12,Regular,B,393.0,Centre,True,6519.0,0.0
1.0,8.324324324324325,6.0,66,90.9090909090909,B12,Regular,C,393.0,Centre,False,0.0,0.0
0.6054794520547945,6.45045045045045,6.0,55,131.8181818181818,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,5.72972972972973,6.0,40,82.72727272727272,B12,Regular,B,393.0,Centre,False,0.0,0.0
0.1726027397260274,8.108108108108109,6.0,33,140.0,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,7.81981981981982,6.0,64,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,7.243243243243244,6.0,50,58.18181818181818,B12,Regular,C,393.0,Centre,True,5214.0,0.0
0.7698630136986301,7.81981981981982,6.0,22,50.0,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,6.2342342342342345,6.0,51,90.9090909090909,B12,Regular,C,393.0,Centre,False,0.0,0.0
1.0,7.387387387387387,6.0,51,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,6.2342342342342345,6.0,44,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,8.324324324324325,6.0,55,50.0,B12,Regular,B,393.0,Centre,True,5784.0,0.0
1.0,7.387387387387387,6.0,41,131.8181818181818,B12,Regular,B,393.0,Centre,False,0.0,0.0
1.0,7.171171171171171,6.0,61,50.0,B12,Regular,D,393.0,Centre,False,0.0,0.0
1.0,5.441441441441441,6.0,46,74.54545454545455,B12,Regular,C,393.0,Centre,False,0.0,0.0
