IDpol,Exposure,predicted_annual_frequency,predicted_claim_count,predicted_claim_severity,pure_premium,final_premium,risk_category
41513,1.0,2.254407188630525,2.254407188630525,6845.330520418997,15432.162333784521,20111.81103391988,High
1041514,1.0,2.1833499364257225,2.1833499364257225,6831.298722850601,14915.115632240979,19439.650321913272,High
141668,0.25,7.4479555329162395,1.8619888832290599,7366.210533429783,13715.802124771059,17880.542762202378,High
2260516,1.0,1.3821396339218193,1.3821396339218193,6712.0029799279655,9276.925341559798,12110.002944027738,High
131877,1.0,2.097008829870883,2.097008829870883,4215.068715208271,8839.036314304261,11540.74720859554,High
1131878,1.0,2.0309126578699632,2.0309126578699632,4206.428520147966,8542.888925993722,11155.75560379184,High
62898,1.0,1.6097608131393133,1.6097608131393133,4816.508125902329,7753.426037244643,10129.453848418038,High
1062899,1.0,1.5590223393331977,1.5590223393331977,4806.6350793331885,7493.6514657030375,9791.74690541395,High
1177433,0.91,1.736868425154293,1.5805502668904066,4707.987354941162,7441.210670368913,9723.573871479588,High
2075585,1.0,1.5098831048073278,1.5098831048073278,4796.782270879722,7242.58050824062,9465.354660712806,High
3075586,1.0,1.4622927027188575,1.4622927027188575,4786.949659057125,6999.921554721757,9149.898021138284,High
4123957,1.0,1.4162023150114547,1.4162023150114547,4777.137202465629,6765.392765259168,8845.010594836918,High
41847,0.24,3.991899785575446,0.958055948538107,6438.324733550148,6168.275309597742,8068.757902477066,High
151708,0.43,1.8898591166517156,0.8126394201602377,7531.308702294549,6120.238336880395,8006.309837944514,High
134303,1.0,1.5031994413773426,1.5031994413773426,3772.437492705695,5670.725931666144,7421.943711165987,High
177430,0.49,2.2432977423081053,1.0992158937309715,5068.206044297649,5571.052636595352,7292.368427573958,High
1134304,1.0,1.4558197034317084,1.4558197034317084,3764.704618583807,5480.731161334661,7174.950509735059,High
5093571,0.47,3.1175456592822437,1.4652464598626544,3716.800307064625,5446.028491942869,7129.83703952573,High
2182249,1.0,1.4099333398887015,1.4099333398887015,3756.9875955773646,5297.102068552816,6936.23268911866,High
32880,1.0,0.8833681965213346,0.8833681965213346,5537.742600541098,4891.865693839355,6409.425401991162,High
4163699,1.0,0.8315741482782473,0.8315741482782473,5687.464984355552,4729.548850227823,6198.41350529617,High
177431,0.41,2.2432977423081053,0.9197520743463231,5068.206044297649,4661.493022457335,6109.940929194537,High
2180560,0.56,1.9668997884717527,1.1014638815441817,4197.806036061239,4623.731730449607,6060.85124958449,High
148841,1.0,1.5206140104132957,1.5206140104132957,2975.2283601049676,4524.173928554588,5931.426107120965,High
